Year,Sexe,Units,Value
2015,,Percentatge,82.2
2016,,Percentatge,84.5
2017,,Percentatge,85.8
2018,,Percentatge,90.7
2019,,Percentatge,92.1
2020,,Percentatge,90.8
2021,,Percentatge,92.4
2022,,Percentatge,93.5
2015,Homes,Percentatge,85.0
2016,Homes,Percentatge,87.8
2017,Homes,Percentatge,87.4
2018,Homes,Percentatge,92.6
2019,Homes,Percentatge,93.8
2020,Homes,Percentatge,92.6
2021,Homes,Percentatge,94.4
2022,Homes,Percentatge,94.8
2015,Dones,Percentatge,79.7
2016,Dones,Percentatge,81.5
2017,Dones,Percentatge,84.3
2018,Dones,Percentatge,89.1
2019,Dones,Percentatge,90.6
2020,Dones,Percentatge,89.3
2021,Dones,Percentatge,90.7
2022,Dones,Percentatge,92.3
