Year,Àrea Geogràfica,Units,Value
2014,Barcelona,Variació percentual anual,
2015,Barcelona,Variació percentual anual,3.06
2016,Barcelona,Variació percentual anual,2.83
2017,Barcelona,Variació percentual anual,2.83
2018,Barcelona,Variació percentual anual,2.93
2019,Barcelona,Variació percentual anual,1.37
2020,Barcelona,Variació percentual anual,-13.65
2021,Barcelona,Variació percentual anual,4.83
2022,Barcelona,Variació percentual anual,9.54
2023,Barcelona,Variació percentual anual,1.32
2014,Unió Europea,Variació percentual anual,
2015,Unió Europea,Variació percentual anual,2.08
2016,Unió Europea,Variació percentual anual,1.76
2017,Unió Europea,Variació percentual anual,2.68
2018,Unió Europea,Variació percentual anual,1.89
2019,Unió Europea,Variació percentual anual,1.72
2020,Unió Europea,Variació percentual anual,-5.74
2021,Unió Europea,Variació percentual anual,5.59
2022,Unió Europea,Variació percentual anual,3.36
2014,Espanya,Variació percentual anual,
2015,Espanya,Variació percentual anual,3.92
2016,Espanya,Variació percentual anual,2.94
2017,Espanya,Variació percentual anual,2.73
2018,Espanya,Variació percentual anual,1.84
2019,Espanya,Variació percentual anual,1.25
2020,Espanya,Variació percentual anual,-11.76
2021,Espanya,Variació percentual anual,5.41
2022,Espanya,Variació percentual anual,5.01
2014,Barcelona,Creixement acumulat del PIB,100.0
2015,Barcelona,Creixement acumulat del PIB,103.06
2016,Barcelona,Creixement acumulat del PIB,105.98
2017,Barcelona,Creixement acumulat del PIB,108.98
2018,Barcelona,Creixement acumulat del PIB,112.17
2019,Barcelona,Creixement acumulat del PIB,113.71
2020,Barcelona,Creixement acumulat del PIB,98.19
2021,Barcelona,Creixement acumulat del PIB,102.93
2022,Barcelona,Creixement acumulat del PIB,112.75
2023,Barcelona,Creixement acumulat del PIB,114.24
