Year,Sexe,Units,Value
2015,,Nombre Total,199
2015,Homes,Nombre Total,135
2015,Dones,Nombre Total,64
2016,,Nombre Total,192
2016,Homes,Nombre Total,131
2016,Dones,Nombre Total,61
2017,,Nombre Total,230
2017,Homes,Nombre Total,150
2017,Dones,Nombre Total,80
2018,,Nombre Total,236
2018,Homes,Nombre Total,155
2018,Dones,Nombre Total,81
2019,,Nombre Total,202
2019,Homes,Nombre Total,143
2019,Dones,Nombre Total,59
2020,,Nombre Total,141
2020,Homes,Nombre Total,98
2020,Dones,Nombre Total,43
2021,,Nombre Total,166
2021,Homes,Nombre Total,111
2021,Dones,Nombre Total,55
2022,,Nombre Total,173
2022,Homes,Nombre Total,113
2022,Dones,Nombre Total,60
2023,,Nombre Total,225
2023,Homes,Nombre Total,147
2023,Dones,Nombre Total,78
2024,,Nombre Total,244
2024,Homes,Nombre Total,149
2024,Dones,Nombre Total,95
2025,,Nombre Total,246
