Year,Sector,Units,Value
2015,Domèstic,x1000 tones de CO2,1127.5
2016,Domèstic,x1000 tones de CO2,942.7
2017,Domèstic,x1000 tones de CO2,1062.0
2018,Domèstic,x1000 tones de CO2,1045.9
2019,Domèstic,x1000 tones de CO2,847.4
2020,Domèstic,x1000 tones de CO2,719.0
2021,Domèstic,x1000 tones de CO2,736.4
2022,Domèstic,x1000 tones de CO2,759.3
2023,Domèstic,x1000 tones de CO2,610.7
2024,Domèstic,x1000 tones de CO2,532.8
2015,Comerç,x1000 tones de CO2,1535.1
2016,Comerç,x1000 tones de CO2,1233.3
2017,Comerç,x1000 tones de CO2,1412.3
2018,Comerç,x1000 tones de CO2,1273.4
2019,Comerç,x1000 tones de CO2,975.5
2020,Comerç,x1000 tones de CO2,660.6
2021,Comerç,x1000 tones de CO2,717.5
2022,Comerç,x1000 tones de CO2,872.2
2023,Comerç,x1000 tones de CO2,665.1
2024,Comerç,x1000 tones de CO2,586.9
2015,Industrial,x1000 tones de CO2,418.3
2016,Industrial,x1000 tones de CO2,365.6
2017,Industrial,x1000 tones de CO2,361.1
2018,Industrial,x1000 tones de CO2,364.4
2019,Industrial,x1000 tones de CO2,317.6
2020,Industrial,x1000 tones de CO2,282.8
2021,Industrial,x1000 tones de CO2,291.6
2022,Industrial,x1000 tones de CO2,267.6
2023,Industrial,x1000 tones de CO2,212.8
2024,Industrial,x1000 tones de CO2,196.0
2015,Transport,x1000 tones de CO2,1095.0
2016,Transport,x1000 tones de CO2,1067.6
2017,Transport,x1000 tones de CO2,998.3
2018,Transport,x1000 tones de CO2,1011.2
2019,Transport,x1000 tones de CO2,969.4
2020,Transport,x1000 tones de CO2,732.2
2021,Transport,x1000 tones de CO2,885.1
2022,Transport,x1000 tones de CO2,936.1
2023,Transport,x1000 tones de CO2,893.2
2024,Transport,x1000 tones de CO2,849.3
2015,Altres,x1000 tones de CO2,31.0
2016,Altres,x1000 tones de CO2,26.3
2017,Altres,x1000 tones de CO2,29.9
2018,Altres,x1000 tones de CO2,27.8
2019,Altres,x1000 tones de CO2,23.6
2020,Altres,x1000 tones de CO2,4.9
2021,Altres,x1000 tones de CO2,4.7
2022,Altres,x1000 tones de CO2,6.8
2023,Altres,x1000 tones de CO2,5.2
2024,Altres,x1000 tones de CO2,4.1
2015,Port i Aeroport,x1000 tones de CO2,411.4
2016,Port i Aeroport,x1000 tones de CO2,444.1
2017,Port i Aeroport,x1000 tones de CO2,438.8
2018,Port i Aeroport,x1000 tones de CO2,446.9
2019,Port i Aeroport,x1000 tones de CO2,447.4
2020,Port i Aeroport,x1000 tones de CO2,266.3
2021,Port i Aeroport,x1000 tones de CO2,315.0
2022,Port i Aeroport,x1000 tones de CO2,478.7
2023,Port i Aeroport,x1000 tones de CO2,488.7
2024,Port i Aeroport,x1000 tones de CO2,502.4
2015,Tractament de residus,x1000 tones de CO2,316.2
2016,Tractament de residus,x1000 tones de CO2,346.8
2017,Tractament de residus,x1000 tones de CO2,364.2
2018,Tractament de residus,x1000 tones de CO2,370.2
2019,Tractament de residus,x1000 tones de CO2,366.2
2020,Tractament de residus,x1000 tones de CO2,304.6
2021,Tractament de residus,x1000 tones de CO2,300.3
2022,Tractament de residus,x1000 tones de CO2,377.7
2023,Tractament de residus,x1000 tones de CO2,361.1
2024,Tractament de residus,x1000 tones de CO2,361.1
2015,Emissions totals,x1000 tones de CO2,4934.6
2016,Emissions totals,x1000 tones de CO2,4426.5
2017,Emissions totals,x1000 tones de CO2,4666.6
2018,Emissions totals,x1000 tones de CO2,4539.9
2019,Emissions totals,x1000 tones de CO2,3947.0
2020,Emissions totals,x1000 tones de CO2,2969.8
2021,Emissions totals,x1000 tones de CO2,3250.6
2022,Emissions totals,x1000 tones de CO2,3698.5
2023,Emissions totals,x1000 tones de CO2,3236.8
2024,Emissions totals,x1000 tones de CO2,3032.7
